# Playlist Blind Test — IDs Deezer
# 1337 morceaux, tous avec une année vérifiée
# Format : deezer:ID | titre(s) | artiste(s) | annee | notoriete
# notoriete = 0 a 100 : position du titre parmi ceux de sa decennie
#             (100 = le plus ecoute aujourd'hui de son epoque)

deezer:15523781 | Chop Suey! | System of a Down | 2001 | 39
deezer:3340663301 | Suite-Pee | System of a Down | 1995 | 38
deezer:15523778 | X | System of a Down | 2000 | 36
deezer:136338506 | Fade To Black | Metallica | 1984 | 20
deezer:4111093381 | Dehumanized | Bring Me the Horizon | 2026 | 41
deezer:4197811 | Wait and Bleed | Slipknot | 1998 | 27
deezer:1133087422 | Protect The Land | System of a Down | 2020 | 36
deezer:559727 | Question! | System of a Down | 2005 | 38
deezer:14381640 | Feuer frei! | Rammstein | 2001 | 37
deezer:83919189 | Crazy Train | Ozzy Osbourne | 1980 | 18
deezer:2831985852 | Doigts de Metal | Ultra Vomit | 2024 | 19
deezer:559790 | Revenga | System of a Down | 2005 | 36
deezer:3499722501 | Specter | Bad Omens | 2025 | 33
deezer:14381636 | Mein Herz brennt | Rammstein | 2001 | 21
deezer:624314 | No More Tears | Ozzy Osbourne | 1991 | 33
deezer:559788 | Cigaro | System of a Down | 2005 | 29
deezer:92722980 | Whole Lotta Rosie | AC/DC | 1977 | 27
deezer:2798271222 | RATATATA | BABYMETAL | 2024 | 31
deezer:3663040382 | Left For Good | Bad Omens | 2025 | 27
deezer:3390202171 | Like A Villain | Bad Omens | 2022 | 32
deezer:92719906 | Touch Too Much | AC/DC | 1979 | 33
deezer:14381639 | Ich will | Rammstein | 2001 | 24
deezer:727923492 | Unsainted | Slipknot | 2019 | 22
deezer:134523754 | Got the Life | KoЯn | 1998 | 29
deezer:92719998 | It's a Long Way to the Top (If You Wanna Rock 'N' Roll) | AC/DC | 1975 | 31
deezer:3789078212 | Afraid Of The Dark | Motionless In White | 2026 | 34
deezer:1461867072 | HOLIDAY | Turnstile | 2021 | 24
deezer:15523791 | Science | System of a Down | 2001 | 28
deezer:3615133212 | Dying To Love | Bad Omens | 2025 | 23
deezer:690236062 | Another Life | Motionless In White | 2019 | 23
deezer:1468946472 | Kill The Noise | Papa Roach | 2021 | 22
deezer:2114256 | The Day That Never Comes | Metallica | 2008 | 26
deezer:3116792081 | Blood Red | LANDMVRKS | 2025 | 23
deezer:60840053 | Highway Star | Deep Purple | 1972 | 36
deezer:132196994 | Square Hammer | Ghost | 2016 | 17
deezer:15523775 | Jet Pilot | System of a Down | 2001 | 18
deezer:3880368941 | Doomed | Maphra | 2026 | 28
deezer:3694398952 | Mea Culpa (Ah! Ça ira!) | Gojira | 2024 | 17
deezer:345114441 | Kammthaar | Ultra Vomit | 2017 | 12
deezer:4051134801 | R.I.P. | Motionless In White | 2026 | 26
deezer:559729 | Sad Statue | System of a Down | 2005 | 19
deezer:7597630 | Mother | Danzig | 1988 | 16
deezer:62082828 | Bombtrack | Rage Against the Machine | 1992 | 11
deezer:15523792 | Shimmy | System of a Down | 2001 | 17
deezer:679630072 | To Hell and Back | Sabaton | 2014 | 18
deezer:3962842921 | The Rider | Deep Purple | 2026 | 33
deezer:3819915 | Vermilion Pt. 2 | Slipknot | 2004 | 23
deezer:3390202121 | CONCRETE JUNGLE | Bad Omens | 2022 | 28
deezer:2483816211 | DArkSide | Bring Me the Horizon | 2023 | 21
deezer:630595112 | Engel | Rammstein | 1997 | 31
deezer:92722970 | Let There Be Rock | AC/DC | 1977 | 15
deezer:3116792061 | Creature | LANDMVRKS | 2024 | 18
deezer:3151418551 | Even If It Kills Me | Papa Roach | 2025 | 20
deezer:345114641 | Evier metal | Ultra Vomit | 2017 | 10
deezer:92719914 | If You Want Blood (You've Got It) | AC/DC | 1979 | 29
deezer:126338367 | Stranded | Gojira | 2016 | 15
deezer:2281044027 | Hanging Around | Ghost | 1995 | 9
